"","user_id","user_name","creation_time","user_screen_name","user_location","place_name","place_full_name","place_country_code","place_country","coordinates_type","latitude","longitude"
"1",3692,"s. adam r.","Fri Sep 01 13:13:04 +0000 2017","sudama","Philadelphia",NA,NA,NA,NA,NA,NA,NA
"2",68093,"Margery","Sat Sep 02 15:22:55 +0000 2017","margery","Massachusetts, USA",NA,NA,NA,NA,NA,NA,NA
"3",246103,"Jeffrey Guterman","Sat Sep 02 20:25:13 +0000 2017","JeffreyGuterman","Global",NA,NA,NA,NA,NA,NA,NA
"4",678403,"Lucy Gray","Sun Sep 03 08:29:09 +0000 2017","elemenous","Northbrook, IL ",NA,NA,NA,NA,NA,NA,NA
"5",758678,"Marjorie @DashKitten","Sun Sep 03 10:12:01 +0000 2017","whskr","Worldwide Cat Blog",NA,NA,NA,NA,NA,NA,NA
"6",780635,"Kathleen Weaver","Sun Sep 03 01:17:09 +0000 2017","kathweaver","home",NA,NA,NA,NA,NA,NA,NA
"7",797022,"Shawn","Sat Sep 02 07:01:18 +0000 2017","QuakerPunk","Texas",NA,NA,NA,NA,NA,NA,NA
"8",799316,"Ryan Joy","Fri Sep 01 23:23:20 +0000 2017","atxryan","Austin, Texas",NA,NA,NA,NA,NA,NA,NA
"9",875841,"Shelby","Fri Sep 01 14:57:03 +0000 2017","shelbinator","Washington, DC",NA,NA,NA,NA,NA,NA,NA
"10",888941,"tim correia","Sun Sep 03 19:35:56 +0000 2017","Timcorreia","iPhone: 37.717165,-121.863282",NA,NA,NA,NA,NA,NA,NA
"11",945201,"Bruce Onder","Sun Sep 03 16:28:43 +0000 2017","bonder","Seattle, WA",NA,NA,NA,NA,NA,NA,NA
"12",1367531,"Fox News","Sun Sep 03 22:00:25 +0000 2017","FoxNews","U.S.A.",NA,NA,NA,NA,NA,NA,NA
"13",1941471,"Thomas Lockney","Sun Sep 03 19:42:55 +0000 2017","tlockney","Portland, OR",NA,NA,NA,NA,NA,NA,NA
"14",2042231,"Leif Johnson","Sat Sep 02 18:25:25 +0000 2017","LeifJohnson","The Texas Coastal Bend",NA,NA,NA,NA,NA,NA,NA
"15",2941591,"Jeff Balke <f0><U+009F><U+008F><U+00B3><U+FE0F><U+200D><f0><U+009F><U+008C><U+0088>","Fri Sep 01 16:48:13 +0000 2017","jeffbalke","Texas",NA,NA,NA,NA,NA,NA,NA
"16",3075421,"Bradley W. Carpenter","Fri Sep 01 16:42:47 +0000 2017","Brad_Carpenter","Houston, TX",NA,NA,NA,NA,NA,NA,NA
"17",3111721,"klaatu barada nikto","Sat Sep 02 03:52:39 +0000 2017","klaatu","Surfin' With The Alien",NA,NA,NA,NA,NA,NA,NA
"18",3510591,"Robert Henning","Mon Sep 04 13:50:23 +0000 2017","Bertokamus","Atlanta, GA, USA",NA,NA,NA,NA,NA,NA,NA
"19",5383942,"GSK","Fri Sep 01 18:34:05 +0000 2017","GSK","London, UK",NA,NA,NA,NA,NA,NA,NA
"20",5392032,"PLB Proud DelCon","Fri Sep 01 23:00:41 +0000 2017","plbrocks","Melbourne, Australia",NA,NA,NA,NA,NA,NA,NA
"21",5468322,"Steven Hoober","Fri Sep 01 21:05:21 +0000 2017","shoobe01","Mission, Kansas",NA,NA,NA,NA,NA,NA,NA
"22",5511422,"Revolution","Fri Sep 01 16:39:43 +0000 2017","revolution","Washington, DC",NA,NA,NA,NA,NA,NA,NA
"23",5736542,"Shawn G.","Sun Sep 03 20:03:35 +0000 2017","Efreet69","Brooklyn, NY",NA,NA,NA,NA,NA,NA,NA
"24",5755892,"Chris Marshburn","Fri Sep 01 19:40:29 +0000 2017","TideNTN","Germantown, TN",NA,NA,NA,NA,NA,NA,NA
"25",5796172,"mazzie","Fri Sep 01 20:37:33 +0000 2017","mazzie","enchanted forest of fuckshit ",NA,NA,NA,NA,NA,NA,NA
"26",5849252,"Roy Crockett","Sun Sep 03 22:30:18 +0000 2017","rcrockett","Ocean City, Maryland",NA,NA,NA,NA,NA,NA,NA
"27",5870242,"<f0><U+009F><U+008C><U+00BB>Lee <f0><U+009F><U+008C><U+00B9>Colleton<U+270A><f0><U+009F><U+008F><U+00BB>","Sat Sep 02 20:33:12 +0000 2017","sleepylemur","Seattle, WA",NA,NA,NA,NA,NA,NA,NA
"28",5963342,"Julia/Jules","Sun Sep 03 00:06:29 +0000 2017","glyneth","New England",NA,NA,NA,NA,NA,NA,NA
"29",5975892,"Scott Hudson","Sat Sep 02 15:29:06 +0000 2017","shudson310","Boulder, Colorado, USA","Colorado","Colorado, USA","US","United States",NA,NA,NA
"30",5986982,"Key","Sun Sep 03 02:06:17 +0000 2017","keyasaurus","Zirakzigil",NA,NA,NA,NA,NA,NA,NA
"31",6091402,"Justin #TexasStrong","Sat Sep 02 03:36:50 +0000 2017","FatElvis04","Phoenix",NA,NA,NA,NA,NA,NA,NA
"32",6213032,"sasha","Fri Sep 01 20:55:57 +0000 2017","sashaw","Dublin",NA,NA,NA,NA,NA,NA,NA
"33",6389182,"Melissa","Fri Sep 01 16:09:18 +0000 2017","melissarocks","Northern Virginia",NA,NA,NA,NA,NA,NA,NA
"34",6422982,"Jeremiah Hester","Fri Sep 01 20:10:54 +0000 2017","Pixelnated","Gastonia, NC 28054",NA,NA,NA,NA,NA,NA,NA
"35",6778782,"Creepy Hachiro","Sat Sep 02 08:12:07 +0000 2017","Hachiro","Tokyo,Japan",NA,NA,NA,NA,NA,NA,NA
"36",7080552,"SJ Reidhead","Sun Sep 03 09:37:05 +0000 2017","sjreidhead","New Mexico, United States",NA,NA,NA,NA,NA,NA,NA
"37",7215512,"grist","Sat Sep 02 17:07:12 +0000 2017","grist","Seattle, WA",NA,NA,NA,NA,NA,NA,NA
"38",7293292,"Grump456","Sat Sep 02 20:27:14 +0000 2017","grump456","Longview, Texas",NA,NA,NA,NA,NA,NA,NA
"39",7443212,"Kimi Wei","Sat Sep 02 12:07:12 +0000 2017","kimiwei","northern New Jersey ",NA,NA,NA,NA,NA,NA,NA
"40",7453202,"Jim Hathaway","Sun Sep 03 15:18:27 +0000 2017","hyperg","Orlando",NA,NA,NA,NA,NA,NA,NA
"41",7466652,"Suzie <U+79C0><U+667A>","Fri Sep 01 15:51:09 +0000 2017","xmisspinki","USA x Taiwan",NA,NA,NA,NA,NA,NA,NA
"42",7779312,"Chuck Reynolds","Sat Sep 02 22:47:18 +0000 2017","ChuckReynolds","San Francisco","San Francisco","San Francisco, CA","US","United States",NA,NA,NA
"43",7885302,"Freds4hb","Sat Sep 02 00:29:51 +0000 2017","freds4hb","Berkeley, CA, USA, Earth","Berkeley","Berkeley, CA","US","United States",NA,NA,NA
"44",8010822,"effin' cheese","Sat Sep 02 18:12:54 +0000 2017","xfegs","New Hampshire, USA",NA,NA,NA,NA,NA,NA,NA
